Title,Description,Rating Value,Vote Count,Content Rating,Genre,Duration,IMDb Link
The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",8.1,191677,6,"Drama, Film-Noir, Mystery",1 Hour 44 Minutes,https://www.imdb.com/title/tt0041959/
Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",8.1,524549,6,"Biography, Crime, Drama",2 Hours 9 Minutes,https://www.imdb.com/title/tt1895587/
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate &quot;Captain&quot; Jack Sparrow to save Elizabeth Swann, the governor&apos;s daughter and his love, from Jack&apos;s former pirate allies, who are now undead.",8.1,1286007,12,"Action, Adventure, Fantasy",2 Hours 23 Minutes,https://www.imdb.com/title/tt0325980/
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his &quot;lakshmi&quot; has been taken, leaving them uncertain if it&apos;s a person or object. His quest to recover the elusive &quot;lakshmi&quot; unfolds.",8.4,74137,16,"Action, Crime, Drama",2 Hours 21 Minutes,https://www.imdb.com/title/tt26548265/
The Terminator,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,8.1,977531,16,"Action, Adventure, Sci-Fi",1 Hour 47 Minutes,https://www.imdb.com/title/tt0088247/
The Big Lebowski,"Jeff &quot;The Dude&quot; Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",8.1,899770,12,"Comedy, Crime",1 Hour 57 Minutes,https://www.imdb.com/title/tt0118715/
La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,8.1,216721,16,"Crime, Drama",1 Hour 38 Minutes,https://www.imdb.com/title/tt0113247/
Jai Bhim,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",8.6,229229,16,"Crime, Drama",2 Hours 44 Minutes,https://www.imdb.com/title/tt15097216/
Det sjunde inseglet,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",8.1,211486,Not Rated,"Drama, Fantasy",1 Hour 36 Minutes,https://www.imdb.com/title/tt0050976/
Room,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",8.1,472394,12,"Drama, Thriller",1 Hour 58 Minutes,https://www.imdb.com/title/tt3170832/
Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",8.1,386733,16,"Biography, Drama, History",2 Hours 1 Minute,https://www.imdb.com/title/tt0395169/
Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",8.1,461721,16,"Drama, War",2 Hours,https://www.imdb.com/title/tt0091763/
The Best Years of Our Lives,"Three World War II veterans, two of them traumatized or disabled, return home to the American Midwest to discover that they and their families have been irreparably changed.",8.1,75757,Approved,"Drama, Romance, War",2 Hours 50 Minutes,https://www.imdb.com/title/tt0036868/
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse&apos;s book tour.",8.1,306720,AL,"Drama, Romance",1 Hour 20 Minutes,https://www.imdb.com/title/tt0381681/
The Sound of Music,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,8.1,281418,Unrated,"Biography, Drama, Family",2 Hours 52 Minutes,https://www.imdb.com/title/tt0059742/
The Exorcist,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",8.1,484999,16,Horror,2 Hours 2 Minutes,https://www.imdb.com/title/tt0070047/
The Incredibles,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",8.0,871543,MG6,"Animation, Action, Adventure",1 Hour 55 Minutes,https://www.imdb.com/title/tt0317705/
Hachi: A Dog&apos;s Tale,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker&apos;s loyal companion. As their bond grows deeper, a beautiful relationship un...",8.1,333285,AL,"Biography, Drama, Family",1 Hour 33 Minutes,https://www.imdb.com/title/tt1028532/
Rush,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",8.1,544806,12,"Biography, Drama, Sport",2 Hours 3 Minutes,https://www.imdb.com/title/tt1979320/
The Wizard of Oz,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others...",8.1,456102,AL,"Adventure, Family, Fantasy",1 Hour 42 Minutes,https://www.imdb.com/title/tt0032138/
Koe no Katachi,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to mak...",8.1,127840,Not Rated,"Animation, Drama",2 Hours 10 Minutes,https://www.imdb.com/title/tt5323662/
La passion de Jeanne d&apos;Arc,"In 1431, Jeanne d&apos;Arc is placed on trial on charges of heresy, and the ecclesiastical jurists attempt to force her to recant her claims of holy visions.",8.1,66292,Passed,"Biography, Drama, History",1 Hour 50 Minutes,https://www.imdb.com/title/tt0019254/
Stand by Me,A writer recounts a childhood journey with his friends to find the body of a missing boy.,8.1,471760,AL,"Adventure, Comedy, Drama",1 Hour 29 Minutes,https://www.imdb.com/title/tt0092005/
The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,8.1,250367,6,"Animation, Action, Adventure",1 Hour 26 Minutes,https://www.imdb.com/title/tt0129167/
Babam ve Oglum,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,8.2,98645,Not Rated,"Drama, Family",1 Hour 52 Minutes,https://www.imdb.com/title/tt0476735/
Ah-ga-ssi,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her ...",8.1,193228,16,"Drama, Romance, Thriller",2 Hours 25 Minutes,https://www.imdb.com/title/tt4016934/
Network,"A television network cynically exploits a deranged former anchor&apos;s ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",8.1,182054,12,Drama,2 Hours 1 Minute,https://www.imdb.com/title/tt0074958/
La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",8.1,72682,16,"Drama, War",2 Hours 1 Minute,https://www.imdb.com/title/tt0058946/
The Grapes of Wrath,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",8.1,106404,6,Drama,2 Hours 9 Minutes,https://www.imdb.com/title/tt0032551/
To Be or Not to Be,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy.",8.1,48108,14,"Comedy, Romance, War",1 Hour 39 Minutes,https://www.imdb.com/title/tt0035446/
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado&apos;s journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",8.2,90059,12,"Animation, Action, Adventure",1 Hour 57 Minutes,https://www.imdb.com/title/tt11032374/
Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",8.2,110100,16,"Action, Comedy, Crime",5 Hours 21 Minutes,https://www.imdb.com/title/tt1954470/
Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",8.0,685696,12,"Adventure, Biography, Drama",2 Hours 28 Minutes,https://www.imdb.com/title/tt0758758/
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids&apos; point of view on the white families for which they work, and the hardships they go through on a daily b...",8.1,518938,12,Drama,2 Hours 26 Minutes,https://www.imdb.com/title/tt1454029/
Drishyam,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",8.2,103956,12,"Crime, Drama, Mystery",2 Hours 43 Minutes,https://www.imdb.com/title/tt4430212/
Groundhog Day,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",8.0,725570,AL,"Comedy, Drama, Fantasy",1 Hour 41 Minutes,https://www.imdb.com/title/tt0107048/
